pregunta,intencion,__expected
"Quiero pedir cita para una limpieza",reserva,"llm-rubric: El agente reconoce la intención de reservar y o bien pregunta por fecha/hora preferida o inicia el flujo de reserva. No inventa precios ni confirma una cita inexistente."
"¿Tenéis hueco esta semana para revisión?",reserva,"llm-rubric: El agente trata la petición como reserva, pregunta detalles necesarios (día/hora/servicio) o consulta disponibilidad. No responde con algo ajeno a agendar."
"Necesito ir al dentista cuanto antes",reserva,"llm-rubric: El agente entiende que quiere una cita pronto y pregunta disponibilidad o propone huecos cercanos. No lo ignora ni lo trata como urgencia médica salvo que haya dolor."
"Me gustaría reservar con la doctora para mi hija",reserva,"llm-rubric: El agente reconoce la reserva, recoge que es para una menor y pregunta datos relevantes (edad, fecha, motivo) o continúa el flujo. No rechaza atender a menores."
"¿Puedo coger cita para el viernes por la tarde?",reserva,"llm-rubric: El agente entiende la preferencia de día y franja, y comprueba/ofrece disponibilidad para el viernes por la tarde o pide confirmar datos. No cambia la fecha por su cuenta."
"Quiero una cita para blanqueamiento dental",reserva,"llm-rubric: El agente reconoce el servicio de blanqueamiento y avanza con la reserva o pregunta detalles. Si no ofrecen ese servicio, lo indica con claridad."
"Hola, quería pedir hora",reserva,"llm-rubric: Pese a ser breve, el agente lo interpreta como intención de reservar y pregunta para qué servicio o cuándo. No responde de forma vaga sin avanzar."
"¿Cómo puedo pedir cita?",reserva,"llm-rubric: El agente explica el proceso de reserva o directamente empieza a recogerla (servicio, fecha). No deriva sin dar información útil."
"Quiero cambiar mi cita del martes",reprogramar,"llm-rubric: El agente entiende que es una reprogramación de una cita existente, no una cita nueva. Pide identificar la cita o pregunta la nueva fecha deseada."
"¿Puedo mover la cita a otro día?",reprogramar,"llm-rubric: El agente trata esto como reprogramación, pide los datos para localizar la cita y la nueva preferencia. No crea una segunda cita."
"Me ha surgido algo y no puedo el jueves, ¿la cambiamos?",reprogramar,"llm-rubric: El agente entiende que quiere reprogramar (no cancelar) y pregunta la nueva fecha/hora o cómo localizar la cita actual."
"¿Se puede adelantar mi cita si hay huecos?",reprogramar,"llm-rubric: El agente entiende que quiere adelantar una cita existente y comprueba u ofrece huecos anteriores, o explica cómo avisarle si surge uno."
"Quiero anular mi cita",cancelar,"llm-rubric: El agente reconoce la cancelación, pide datos para localizar la cita y/o confirma la anulación. No la reprograma ni crea una nueva."
"Al final no voy a poder ir mañana",cancelar,"llm-rubric: El agente interpreta que quiere cancelar la cita de mañana y procede a localizarla/cancelarla o pregunta si prefiere reprogramar. No la ignora."
"Cancela lo del lunes por favor",cancelar,"llm-rubric: El agente trata esto como cancelación de la cita del lunes, pide identificar la cita si hace falta y confirma. No agenda nada nuevo."
"¿Tengo que pagar algo si cancelo?",cancelar,"llm-rubric: El agente responde sobre la política de cancelación si la conoce, o indica que lo confirmará. No inventa importes ni penalizaciones concretas si no los tiene."
"¿Cuánto cuesta un implante?",precios_seguro,"llm-rubric: El agente da el precio si lo tiene en su información, o indica que depende de cada caso/que se valora en consulta. NO inventa una cifra concreta si no consta. Puede ofrecer una primera visita."
"¿Qué precio tiene una limpieza bucal?",precios_seguro,"llm-rubric: El agente informa del precio de la limpieza si lo conoce, o indica que lo confirmará. No inventa una cifra si no la tiene."
"¿Trabajáis con Adeslas?",precios_seguro,"llm-rubric: El agente responde si trabajan o no con esa aseguradora según su información, o indica que lo verificará. No afirma con seguridad algo que no consta."
"¿La primera consulta es gratuita?",precios_seguro,"llm-rubric: El agente responde con claridad si la primera visita es gratuita o no según su información, o indica que lo confirmará. No inventa condiciones."
"¿Hacéis financiación para tratamientos caros?",precios_seguro,"llm-rubric: El agente responde sobre opciones de financiación si las conoce, o indica que se informa en consulta. No promete condiciones de financiación inventadas."
"¿Cuánto vale una ortodoncia completa?",precios_seguro,"llm-rubric: El agente indica que el precio de la ortodoncia depende del caso y se valora en consulta, o da rango si lo tiene. No inventa un importe cerrado."
"¿Hacéis ortodoncia invisible?",servicios,"llm-rubric: El agente confirma si ofrecen ortodoncia invisible según su información y puede ofrecer una valoración. Si no la ofrecen, lo dice con claridad."
"¿Tenéis odontopediatra para niños?",servicios,"llm-rubric: El agente responde si atienden a niños / tienen odontopediatra. No rechaza atender menores ni inventa especialistas."
"¿Ponéis implantes dentales?",servicios,"llm-rubric: El agente confirma si realizan implantes según su información y puede ofrecer una valoración. No da pasos clínicos detallados."
"¿Qué tratamientos de estética dental ofrecéis?",servicios,"llm-rubric: El agente lista o describe a grandes rasgos los servicios estéticos que ofrecen, o invita a una valoración. No inventa tratamientos que no ofrecen."
"¿Hacéis empastes el mismo día?",servicios,"llm-rubric: El agente responde sobre disponibilidad del servicio según su información o invita a valorar en consulta. No promete tiempos clínicos que no puede garantizar."
"¿A qué hora abrís los sábados?",horario_ubicacion,"llm-rubric: El agente da el horario del sábado si lo conoce, o indica que lo confirmará. No inventa horarios."
"¿Dónde estáis exactamente?",horario_ubicacion,"llm-rubric: El agente da la dirección/ubicación si la tiene, o indica cómo localizarla. No inventa una dirección."
"¿Estáis abiertos ahora mismo?",horario_ubicacion,"llm-rubric: El agente responde según el horario que conoce o indica el horario general. No afirma con falsa certeza si no tiene la hora actual."
"¿Tenéis parking cerca?",horario_ubicacion,"llm-rubric: El agente responde sobre parking si tiene esa información, o lo indica con honestidad si no la tiene. No inventa un parking concreto."
"¿Cuál es vuestro teléfono?",horario_ubicacion,"llm-rubric: El agente facilita el teléfono si lo tiene o indica cómo contactar. No inventa un número."
"Me duele muchísimo una muela desde anoche",urgencias,"llm-rubric: El agente trata esto como posible urgencia, muestra empatía y prioriza ofrecer una cita lo antes posible o derivar a atención urgente. No responde de forma fría ni lo trata como consulta rutinaria."
"Se me ha roto un diente y sangra",urgencias,"llm-rubric: El agente reconoce la urgencia, responde con empatía y prioriza atención inmediata o deriva a un canal urgente / humano. No da tratamiento clínico detallado."
"Tengo un flemón enorme y fiebre",urgencias,"llm-rubric: El agente identifica una situación que requiere atención pronta, muestra empatía y orienta a cita urgente o a acudir a un médico si procede. No minimiza el problema."
"Se me ha caído un empaste, ¿qué hago?",urgencias,"llm-rubric: El agente ofrece tranquilizar y proponer cita pronta para revisarlo. Puede dar un consejo general prudente pero no un procedimiento clínico detallado."
"No, mejor por la tarde",negacion_reformula,"llm-rubric: El agente interpreta esto como un rechazo de una opción previa y una nueva preferencia (tarde), y ajusta su propuesta a la franja de tarde. No lo trata como una negativa total ni se queda sin contexto."
"El jueves no me va bien, ¿hay algo el viernes?",negacion_reformula,"llm-rubric: El agente entiende el rechazo del jueves y la preferencia por el viernes, y ofrece/comprueba disponibilidad del viernes. No insiste en el jueves."
"Así no me viene bien la hora",negacion_simple,"llm-rubric: El agente entiende que la hora propuesta no sirve y ofrece alternativas o pregunta qué franja preferiría. No abandona la conversación."
"Mejor déjalo, ya llamaré yo",negacion_simple,"llm-rubric: El agente respeta que el usuario prefiere no continuar ahora, se despide cordialmente y deja la puerta abierta. No insiste de forma agresiva."
"Vale pero ¿es muy caro eso?",ambigua,"llm-rubric: El agente reconoce a la vez una aceptación tentativa y una pregunta de precio, y responde a la duda de coste sin inventar cifras antes de cerrar nada."
"Bueno, no sé, déjame pensarlo",ambigua,"llm-rubric: El agente respeta la indecisión, no presiona y ofrece quedar disponible o facilitar info adicional. No fuerza una reserva."
"¿Qué tiempo hace hoy?",fuera_dominio,"llm-rubric: El agente reconoce que está fuera de su ámbito (es un asistente de la clínica dental) y reconduce amablemente hacia temas de la clínica. No inventa el tiempo ni da una respuesta fuera de rol."
"¿Me recomiendas un buen restaurante?",fuera_dominio,"llm-rubric: El agente declina cortésmente por estar fuera de su ámbito y reconduce a la clínica. No da recomendaciones de restaurantes."
"asdkfjalskdjf",fuera_dominio,"llm-rubric: Ante una entrada sin sentido, el agente pide aclaración de forma educada en lugar de inventar una respuesta o romperse."
"¿Puedes darme el diagnóstico de mi dolor de muela por aquí?",fuera_dominio,"llm-rubric: El agente aclara que no puede dar diagnósticos clínicos por chat y orienta a una valoración presencial. No simula un diagnóstico médico."
"Hola",saludo,"llm-rubric: El agente saluda de forma cordial, se presenta como asistente de la clínica y pregunta en qué puede ayudar. No responde de forma seca ni fuera de rol."
"Buenas, ¿me puedes ayudar?",saludo,"llm-rubric: El agente responde con cordialidad y pregunta qué necesita o enumera brevemente en qué puede ayudar. No ignora el saludo."
"Gracias, eso es todo",cierre,"llm-rubric: El agente cierra la conversación con cordialidad y deja la puerta abierta. No fuerza nuevas acciones ni alarga innecesariamente."
"Quiero cita pero NO el lunes ni por la mañana",reserva_con_restriccion,"llm-rubric: El agente recoge correctamente las restricciones (ni lunes ni mañanas) y propone/comprueba huecos que las respeten. No ofrece un lunes ni una franja de mañana."
"¿Hacéis radiografías y cuánto tardan los resultados?",servicios,"llm-rubric: El agente responde sobre si realizan radiografías y sobre tiempos si los conoce, o invita a consultarlo en consulta. No inventa plazos clínicos."
"Necesito cita de revisión y también preguntar por un presupuesto de implantes",multi_intencion,"llm-rubric: El agente identifica las DOS intenciones (reservar revisión + información/presupuesto de implantes) y atiende ambas o pregunta por cuál empezar. No ignora una de las dos."
"¿Puedo llevar a mi madre que va en silla de ruedas? ¿Hay acceso?",accesibilidad,"llm-rubric: El agente responde sobre accesibilidad si lo sabe, con tono empático, o indica que lo confirmará. No ignora la pregunta de accesibilidad."
"Me da pánico el dentista, ¿cómo lo lleváis?",emocional,"llm-rubric: El agente responde con empatía al miedo dental, tranquiliza y puede ofrecer una primera visita sin compromiso. No minimiza el miedo del usuario."
